Author (Citation),Sample ID,Total Length (cm),Total Weight (g),Sex Ratio,Maturity,Age (Years),d13C,d15N,Waterbody,Region,Location,Latitude,Longitude,Class,Species,Tissue,N,n,Collection Date,Sampling Year,PFDA,PFDoA,PFDS,PFHxS,PFNA,PFOA,PFOS,PFOSA,PFTeDA,PFTrDA,PFUnA
#9 Gewurtz et al (2012),14791,62,2840.7,1,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,Pisces,Lake trout,Whole fish homogenate,1,1,9/3/97,1997,0.87821,<0.2065,<0.2485,0.6861,0.67924,1.58147,40.13722,<0.28,NA,0.12475,1.07375
#9 Gewurtz et al (2012),14829,64,2631.4,0,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,Pisces,Lake trout,Whole fish homogenate,1,1,9/30/97,1997,0.71738,0.24162,0.77256,0.65037,0.84745,1.73827,48.48245,<0.28,NA,0.62278,2.34528
#9 Gewurtz et al (2012),14913,54.5,1605.9,0,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,Pisces,Lake trout,Whole fish homogenate,1,1,9/23/97,1997,0.68328,<0.2065,<0.2485,0.68847,1.49532,5.47248,40.70612,0.39356,NA,0.46417,3.76947
#9 Gewurtz et al (2012),14943,60,2515.5,0,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,Pisces,Lake trout,Whole fish homogenate,1,1,9/23/97,1997,2.53381,0.7319,1.9809,1.47175,3.13046,0.22911,123.7072,1.49562,NA,0.12475,3.41288
#9 Gewurtz et al (2012),14952,62,2254.2,1,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,Pisces,Lake trout,Whole fish homogenate,1,1,9/23/97,1997,0.69398,<0.2065,1.04097,0.5574,0.74197,1.81985,59.80066,<0.28,NA,0.37652,1.50609
#9 Gewurtz et al (2012),14983,65,3135.1,1,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,Pisces,Lake trout,Whole fish homogenate,1,1,9/16/97,1997,1.01643,0.30225,0.65724,0.98204,1.08139,<0.207,55.40695,0.36759,NA,0.0661,2.14749
#9 Gewurtz et al (2012),14997,65,2642.4,0,Adult (Sexually Mature),5,-23,17.6,Lake Ontario,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,Pisces,Lake trout,Whole fish homogenate,1,1,9/16/97,1997,3.435,1.06412,1.487,1.07452,3.98613,0.35355,128.2496,1.38301,NA,0.25823,4.64471
#9 Gewurtz et al (2012),15552,58,2058,0,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/98,1998,1.48199,0.35872,4.41828,1.82825,1.91135,11.09418,82.27146,1.06371,NA,1.09279,3.6288
#9 Gewurtz et al (2012),15565,62,2706,0,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Central Basin L Ontario,"Lake Ontario, Central Basin, Port Hope - Cobourg, Ontario",43.91667,-78.1667,Pisces,Lake trout,Whole fish homogenate,1,1,9/1/98,1998,0.95131,0.40505,1.82088,0.8547,1.25975,<0.207,62.05871,0.92159,NA,0.60572,2.7722
#9 Gewurtz et al (2012),15676,57,2689.3,1,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,Pisces,Lake trout,Whole fish homogenate,1,1,9/22/98,1998,0.69784,<0.2065,2.53155,0.79435,0.89458,2.0824,54.1945,<0.28,NA,0.53452,1.31031
#9 Gewurtz et al (2012),15683,55,2197.3,0,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Niagara Basin,"Lake Ontario, Niagara on the Lake, Ontario",43.3333,-79.0833,Pisces,Lake trout,Whole fish homogenate,1,1,9/22/98,1998,1.20373,0.40124,2.53213,0.5298,1.12193,<0.207,67.00428,0.71679,NA,0.59992,3.10868
#9 Gewurtz et al (2012),15746,57.5,1620.9,0,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,Pisces,Lake trout,Whole fish homogenate,1,1,9/11/98,1998,1.46842,0.48818,3.2313,2.80123,1.58465,2.86323,61.60402,0.3332,NA,0.47268,2.83611
#9 Gewurtz et al (2012),15747,57.5,2532.2,1,Adult (Sexually Mature),5,-23.9,18,Lake Ontario,Western Basin L Ontario,"Lake Ontario, Port Credit, Ontario",43.5,-79.5833,Pisces,Lake trout,Whole fish homogenate,1,1,9/11/98,1998,2.75053,1.77683,2.02914,0.77469,2.61549,<0.207,103.4115,0.60056,NA,0.45486,5.36602
